WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
No,A,B,C,D,E,F,G,H,I,J,K,L
1.0,10.01,10.31,9.70,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
2.0,8.92,7.06,7.10,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
3.0,8.84,8.12,8.85,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
4.0,8.81,7.17,8.60,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
5.0,9.95,8.40,8.77,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
6.0,9.09,6.90,8.68,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
7.0,8.97,9.89,9.74,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
8.0,8.85,10.74,8.66,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
9.0,8.57,7.06,9.12,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
10.0,8.44,7.06,8.73,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
11.0,8.76,7.14,7.55,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
12.0,8.29,9.97,8.13,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
13.0,9.65,7.28,9.13,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
14.0,9.56,10.15,8.10,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
15.0,7.10,7.01,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
16.0,8.96,9.31,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
17.0,7.19,7.14,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
18.0,8.61,9.09,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
19.0,7.14,7.05,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
20.0,9.16,9.02,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
21.0,7.19,7.01,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
